value,abs_value,first_digit
1793000000.0,1793000000.0,1.0
37409000000.0,37409000000.0,3.0
3453000000.0,3453000000.0,3.0
588000000.0,588000000.0,5.0
143000000.0,143000000.0,1.0
73286000000.0,73286000000.0,7.0
313000000.0,313000000.0,3.0
3162000000.0,3162000000.0,3.0
1638000000.0,1638000000.0,1.0
2625000000.0,2625000000.0,2.0
7554000000.0,7554000000.0,7.0
463000000.0,463000000.0,4.0
11.4,11.4,1.0
946626000.0,946626000.0,9.0
60706000000.0,60706000000.0,6.0
1092000000.0,1092000000.0,1.0
225000000.0,225000000.0,2.0
6260000000.0,6260000000.0,6.0
3963000000.0,3963000000.0,3.0
5148000000.0,5148000000.0,5.0
465000000.0,465000000.0,4.0
109239000000.0,109239000000.0,1.0
12497000000.0,12497000000.0,1.0
-48000000.0,48000000.0,4.0
4798000000.0,4798000000.0,4.0
-77000000.0,77000000.0,7.0
10278000000.0,10278000000.0,1.0
-52000000.0,52000000.0,5.0
8737000000.0,8737000000.0,8.0
4325000000.0,4325000000.0,4.0
34519000000.0,34519000000.0,3.0
589000000.0,589000000.0,5.0
93000000.0,93000000.0,9.0
55298000000.0,55298000000.0,5.0
4690000000.0,4690000000.0,4.0
207000000000.0,207000000000.0,2.0
1577000000.0,1577000000.0,1.0
861745.0,861745.0,8.0
14310000000.0,14310000000.0,1.0
13818000000.0,13818000000.0,1.0
104256000000.0,104256000000.0,1.0
-4422000000.0,4422000000.0,4.0
1950000000.0,1950000000.0,1.0
5241000000.0,5241000000.0,5.0
347000000.0,347000000.0,3.0
7952000000.0,7952000000.0,7.0
8213000000.0,8213000000.0,8.0
1764000000.0,1764000000.0,1.0
429000000.0,429000000.0,4.0
34393000000.0,34393000000.0,3.0
207000000000.0,207000000000.0,2.0
49188000000.0,49188000000.0,4.0
-51000000.0,51000000.0,5.0
5162000000.0,5162000000.0,5.0
2649000000.0,2649000000.0,2.0
885415000.0,885415000.0,8.0
1800000.0,1800000.0,1.0
106215000000.0,106215000000.0,1.0
-471000000.0,471000000.0,4.0
103240000000.0,103240000000.0,1.0
55000000.0,55000000.0,5.0
8000000.0,8000000.0,8.0
569000000.0,569000000.0,5.0
177000000.0,177000000.0,1.0
2.65,2.65,2.0
29768000000.0,29768000000.0,2.0
838000000.0,838000000.0,8.0
16651000000.0,16651000000.0,1.0
106215000000.0,106215000000.0,1.0
4271000000.0,4271000000.0,4.0
98934000000.0,98934000000.0,9.0
26.16,26.16,2.0
172000000.0,172000000.0,1.0
203000000.0,203000000.0,2.0
-883000000.0,883000000.0,8.0
23287000000.0,23287000000.0,2.0
122681000000.0,122681000000.0,1.0
3412000000.0,3412000000.0,3.0
236000000.0,236000000.0,2.0
6469854000.0,6469854000.0,6.0
202000000.0,202000000.0,2.0
-100000000.0,100000000.0,1.0
7795000000.0,7795000000.0,7.0
-1282000000.0,1282000000.0,1.0
632000000.0,632000000.0,6.0
8396000000.0,8396000000.0,8.0
4974000000.0,4974000000.0,4.0
-25576000000.0,25576000000.0,2.0
667000000.0,667000000.0,6.0
9201000000.0,9201000000.0,9.0
4179000000.0,4179000000.0,4.0
10282000000.0,10282000000.0,1.0
588000000.0,588000000.0,5.0
14405000000.0,14405000000.0,1.0
10968000000.0,10968000000.0,1.0
-35000000.0,35000000.0,3.0
1577000000.0,1577000000.0,1.0
2645000000.0,2645000000.0,2.0
48985000000.0,48985000000.0,4.0
104256000000.0,104256000000.0,1.0
126685000000.0,126685000000.0,1.0
322000000.0,322000000.0,3.0
31394000000.0,31394000000.0,3.0
51000000.0,51000000.0,5.0
2374000000.0,2374000000.0,2.0
6294494000.0,6294494000.0,6.0
46532000000.0,46532000000.0,4.0
20535000000.0,20535000000.0,2.0
6172857000.0,6172857000.0,6.0
1.64,1.64,1.0
1793000000.0,1793000000.0,1.0
27989000000.0,27989000000.0,2.0
124000000.0,124000000.0,1.0
3556000000.0,3556000000.0,3.0
8077000000.0,8077000000.0,8.0
1001000000.0,1001000000.0,1.0
-2314000000.0,2314000000.0,2.0
5162000000.0,5162000000.0,5.0
39000000.0,39000000.0,3.0
10121000000.0,10121000000.0,1.0
2010000000.0,2010000000.0,2.0
6210000000.0,6210000000.0,6.0
-1486000000.0,1486000000.0,1.0
2450000000.0,2450000000.0,2.0
20208000000.0,20208000000.0,2.0
11769000000.0,11769000000.0,1.0
22285000000.0,22285000000.0,2.0
3403000000.0,3403000000.0,3.0
-140000000.0,140000000.0,1.0
9201000000.0,9201000000.0,9.0
6053000000.0,6053000000.0,6.0
19764000000.0,19764000000.0,1.0
-8871000000.0,8871000000.0,8.0
7280000000.0,7280000000.0,7.0
22367000000.0,22367000000.0,2.0
2850000000.0,2850000000.0,2.0
17286000000.0,17286000000.0,1.0
29525000000.0,29525000000.0,2.0
1.07,1.07,1.0
1043000000.0,1043000000.0,1.0
8835000000.0,8835000000.0,8.0
123549000000.0,123549000000.0,1.0
43658000000.0,43658000000.0,4.0
1698000000.0,1698000000.0,1.0
3453000000.0,3453000000.0,3.0
3058000000.0,3058000000.0,3.0
1650000000.0,1650000000.0,1.0
3154000000.0,3154000000.0,3.0
1.35,1.35,1.0
4.52,4.52,4.0
7825000000.0,7825000000.0,7.0
-22169000000.0,22169000000.0,2.0
86000000.0,86000000.0,8.0
-169000000.0,169000000.0,1.0
644000000.0,644000000.0,6.0
580000000.0,580000000.0,5.0
188000000.0,188000000.0,1.0
-4740000000.0,4740000000.0,4.0
13190000000.0,13190000000.0,1.0
2046000000.0,2046000000.0,2.0
3453000000.0,3453000000.0,3.0
1.28,1.28,1.0
468000000.0,468000000.0,4.0
2543000000.0,2543000000.0,2.0
2535000000.0,2535000000.0,2.0
6294494000.0,6294494000.0,6.0
435000000.0,435000000.0,4.0
8000000.0,8000000.0,8.0
1081000000.0,1081000000.0,1.0
1603000000.0,1603000000.0,1.0
3823000000.0,3823000000.0,3.0
17637000000.0,17637000000.0,1.0
10788000000.0,10788000000.0,1.0
4355000000.0,4355000000.0,4.0
3316000000.0,3316000000.0,3.0
3884000000.0,3884000000.0,3.0
50712000000.0,50712000000.0,5.0
5080000000.0,5080000000.0,5.0
2543000000.0,2543000000.0,2.0
8421000000.0,8421000000.0,8.0
7188000000.0,7188000000.0,7.0
133438000000.0,133438000000.0,1.0
6136147000.0,6136147000.0,6.0
3767000000.0,3767000000.0,3.0
13249000000.0,13249000000.0,1.0
41338000000.0,41338000000.0,4.0
357000000.0,357000000.0,3.0
7554000000.0,7554000000.0,7.0
721000000.0,721000000.0,7.0
5158000000.0,5158000000.0,5.0
14735000000.0,14735000000.0,1.0
673000000.0,673000000.0,6.0
54528000000.0,54528000000.0,5.0
-65000000.0,65000000.0,6.0
6012635000.0,6012635000.0,6.0
37432000000.0,37432000000.0,3.0
8013000000.0,8013000000.0,8.0
46205000000.0,46205000000.0,4.0
5140000000.0,5140000000.0,5.0
1793000000.0,1793000000.0,1.0
10487000000.0,10487000000.0,1.0
5.06,5.06,5.0
17950000000.0,17950000000.0,1.0
98715000000.0,98715000000.0,9.0
-1144000000.0,1144000000.0,1.0
3761000000.0,3761000000.0,3.0
-2091000000.0,2091000000.0,2.0
844000000.0,844000000.0,8.0
-51000000.0,51000000.0,5.0
6771000000.0,6771000000.0,6.0
46000000.0,46000000.0,4.0
335000000.0,335000000.0,3.0
1.2,1.2,1.0
43758000000.0,43758000000.0,4.0
222520000000.0,222520000000.0,2.0
234000000.0,234000000.0,2.0
3806000000.0,3806000000.0,3.0
2173000000.0,2173000000.0,2.0
8317000000.0,8317000000.0,8.0
120940000000.0,120940000000.0,1.0
3016000000.0,3016000000.0,3.0
502000000.0,502000000.0,5.0
8085000000.0,8085000000.0,8.0
16896000000.0,16896000000.0,1.0
8837000000.0,8837000000.0,8.0
177000000.0,177000000.0,1.0
10308000000.0,10308000000.0,1.0
1440000000.0,1440000000.0,1.0
4160000000.0,4160000000.0,4.0
126827000000.0,126827000000.0,1.0
1835000000.0,1835000000.0,1.0
10484000000.0,10484000000.0,1.0
1.29,1.29,1.0
143000000.0,143000000.0,1.0
24828000000.0,24828000000.0,2.0
15111000000.0,15111000000.0,1.0
2599000000.0,2599000000.0,2.0
46288000000.0,46288000000.0,4.0
31043000000.0,31043000000.0,3.0
313000000.0,313000000.0,3.0
11248000000.0,11248000000.0,1.0
443000000.0,443000000.0,4.0
99000000.0,99000000.0,9.0
2625000000.0,2625000000.0,2.0
906000000.0,906000000.0,9.0
50000000.0,50000000.0,5.0
1178000000.0,1178000000.0,1.0
42011000000.0,42011000000.0,4.0
8297000000.0,8297000000.0,8.0
-1001000000.0,1001000000.0,1.0
