adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0000320193-24-000123,LongTermDebtNoncurrent,us-gaap/2024,2023-09-30,0,USD,,,95281000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RetainedEarningsAccumulatedDeficit,us-gaap/2024,2023-09-30,0,USD,,,-214000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,us-gaap/2024,2024-09-30,4,USD,,,11135000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ShareBasedCompensation,us-gaap/2024,2023-09-30,4,USD,,,10833000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RepaymentsOfLongTermDebt,us-gaap/2024,2022-09-30,4,USD,,,9543000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ContractWithCustomerLiabilityCurrent,us-gaap/2024,2024-09-30,0,USD,,,8249000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockIssuedDuringPeriodValueNewIssues,us-gaap/2024,2023-09-30,4,USD,EquityComponents=CommonStockIncludingAdditionalPaidInCapital;,,1346000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,LongTermDebtNoncurrent,us-gaap/2024,2024-09-30,0,USD,,,85750000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,PaymentsForRepurchaseOfCommonStock,us-gaap/2024,2023-09-30,4,USD,,,77550000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,us-gaap/2024,2024-09-30,4,USD,,,5441000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,LiabilitiesAndStockholdersEquity,us-gaap/2024,2023-09-30,0,USD,,,352583000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
